Название,Производитель,Содержание,Количество на складе,Цена,Ссылка,Ссылка на изображение
Мастодинон таблетки 60 шт,"Bionorica, ГерманияГомеопатический состав",Гомеопатический состав,None,795 ₽,https://366.ru/p/mastodinon-tab-60-14098/,https://media.366.ru/sys_master/product/h4c/h7c/9667017998366.png
Набор гинекологический одноразовый стерильный 3 шт,"ФАРМ БСК, Беларусь",None,None,138 ₽,https://366.ru/p/nabor-ginekolog-odnoraz-junona3-14101/,https://media.366.ru/sys_master/product/h95/h8e/8823089791006.jpg
"Бусерелин-депо лиофилизат для приготовления суспензии 3,75 мг","ФАРМ-СИНТЕЗ, РоссияБусерелин",Бусерелин,None,4 067 ₽,https://366.ru/p/buserelindepo-liof-d-pr-susp-3-75mg-14153/,https://media.366.ru/sys_master/product/h1a/h45/8818583273502.jpg
Линдинет 20 таблетки 20 мг 21 шт,"Гедеон Рихтер, ВенгрияГестоден + Этинилэстрадиол",Гестоден + Этинилэстрадиол,None,776 ₽,https://366.ru/p/lindinet-20-tab-p-o-21-14482/,https://media.366.ru/sys_master/product/h6d/hd1/8818118557726.jpg
Белара таблетки 63 шт,"Гедеон Рихтер, ГерманияХлормадинон + Этинилэстрадиол",Хлормадинон + Этинилэстрадиол,None,2 422 ₽,https://366.ru/p/belara-tab-p-o-21kh3-14385/,https://media.366.ru/sys_master/product/h2c/h13/8829657251870.jpg
Линдинет 20 таблетки 20 мг 63 шт,"Гедеон Рихтер, ВенгрияГестоден + Этинилэстрадиол",Гестоден + Этинилэстрадиол,None,1 457 ₽,https://366.ru/p/lindinet-20-tab-p-o-21x3-14483/,https://media.366.ru/sys_master/product/h53/h8e/8815933325342.jpg
Бетадин суппозитории вагинальные 200 мг 7 шт,"ЭГИС, ВенгрияПовидон-йод",Повидон-йод,None,526 ₽,https://366.ru/p/betadin-supp-vag-200mg-7-14713/,https://media.366.ru/sys_master/product/h37/hb5/9935786868766.jpg
Ригевидон таблетки 21 шт,"Гедеон Рихтер, ВенгрияЛевоноргестрел + Этинилэстрадиол",Левоноргестрел + Этинилэстрадиол,None,355 ₽,https://366.ru/p/rigevidon-tab-0-03mg-0-15mg-21-15008/,https://media.366.ru/sys_master/product/h0f/h94/8815943745566.jpg
Евра трансдермальная система 150 мкг + 20 мкг/24 ч 3 шт,"Johnson & Johnson, БельгияНорэтистерон + Этинилэстрадиол",Норэтистерон + Этинилэстрадиол,None,1 441 ₽,https://366.ru/p/evra-transderm-sist-203mg-33-9mkg-24ch-3-16098/,https://media.366.ru/sys_master/product/hc6/he3/8815960752158.jpg
Менопур порошок 75 мг + ампулы 10 шт,"ФЕРРИНГ, ГерманияМенотропины",Менотропины,None,13 660 ₽,https://366.ru/p/menopur-liof-d-in-75me-fsg-75me-lg-10-16276/,https://media.366.ru/sys_master/product/h1a/h80/8839408680990.jpg
Анжелик таблетки покрытые оболочкой 2 мг 28 шт,"БАЙЕР, ГерманияДроспиренон + Эстрадиол",Дроспиренон + Эстрадиол,None,1 660 ₽,https://366.ru/p/anzhelik-tab-p-pl-ob-28-17146/,https://media.366.ru/sys_master/product/h68/h60/8818750324766.jpg
Эскапел таблетки 1 шт,"Гедеон Рихтер, ВенгрияЛевоноргестрел",Левоноргестрел,None,639 ₽,https://366.ru/p/eskapel-tab-1-5mg-1-17293/,https://media.366.ru/sys_master/product/h4c/h08/8815969927198.jpg
