Название,Производитель,Содержание,Количество на складе,Цена,Ссылка,Ссылка на изображение
Визарсин таблетки 50 мг 4 шт,"KRKA, СловенияСилденафил",Силденафил,None,839 ₽,https://366.ru/p/vizarsin-tab-p-pl-ob-50mg-4-43613/,https://media.366.ru/sys_master/product/ha9/h25/8822722428958.jpg
Везикар таблетки 10 мг 30 шт,"АСТЕЛЛАС ФАРМА, НидерландыСолифенацин",Солифенацин,None,1 185 ₽,https://366.ru/p/vezikar-tab-p-o-10-mg-30-44058/,https://media.366.ru/sys_master/product/h07/h15/8816770613278.jpg
"Профлосин капсулы пролонгированного действия 0,4 мг 100 шт","Berlin-Chemie, ГерманияТамсулозин",Тамсулозин,None,1 018 ₽,https://366.ru/p/proflosin-kaps-kishechn-prolong-0-4mg-100-44253/,https://media.366.ru/sys_master/product/h8d/hc0/8817850810398.jpg
Силденафил Верте таблетки покрытые пленочной оболочкой 25мг N1,"ВЕРТЕКС, РоссияСилденафил",Силденафил,None,97 ₽,https://366.ru/p/sildenafil-verteks-tab-p-pl-ob-25mg-1-44275/,https://media.366.ru/sys_master/product/h2b/hec/8816789127198.jpg
Простамол Уно капсулы 320 мг 90 шт,"Berlin-Chemie, ГерманияПальмы ползучей плодов экстракт",Пальмы ползучей плодов экстракт,None,2 263 ₽,https://366.ru/p/prostamol-uno-kaps-320mg-90-44264/,https://media.366.ru/sys_master/product/h6f/he0/8816788635678.jpg
Силденафил Верте таблетки покрытые пленочной оболочкой 50мг N1,"ВЕРТЕКС, РоссияСилденафил",Силденафил,None,123 ₽,https://366.ru/p/sildenafil-verteks-tab-p-pl-ob-50mg-1-44274/,https://media.366.ru/sys_master/product/hc7/h15/8818243338270.jpg
Максигра таблетки 50 мг 1 шт,"АКРИХИН, ПольшаСилденафил",Силденафил,None,437 ₽,https://366.ru/p/maksigra-tab-p-pl-ob-50mg-1-44681/,https://media.366.ru/sys_master/product/h08/hd9/8818415599646.jpg
Максигра таблетки 100 мг 1 шт,"АКРИХИН, ПольшаСилденафил",Силденафил,None,574 ₽,https://366.ru/p/maksigra-tab-p-pl-ob-100mg-1-44683/,
Максигра таблетки покрытые оболочкой 50мг N4,"АКРИХИН, ПольшаСилденафил",Силденафил,None,873 ₽,https://366.ru/p/maksigra-tab-p-pl-ob-50mg-4-44680/,https://media.366.ru/sys_master/product/h32/h29/9648431759390.jpg
Максигра таблетки покрытые оболочкой 100мг N4,"АКРИХИН, ПольшаСилденафил",Силденафил,None,1 098 ₽,https://366.ru/p/maksigra-tab-p-pl-ob-100mg-4-44682/,https://media.366.ru/sys_master/product/h9e/he0/9648432218142.jpg
Роватинекс капсулы 50 шт,"РОВА ФАРМАСЬЮТИКАЛЗ, Ирландия",None,None,1 452 ₽,https://366.ru/p/rovatineks-kaps-kishechnorastv-50-45149/,https://media.366.ru/sys_master/product/he6/h0e/8816833331230.jpg
"Тамсулозин Верте капсулыпролонгированного действия 0,4мг N30","ВЕРТЕКС, РоссияТамсулозин",Тамсулозин,None,530 ₽,https://366.ru/p/tamsulozinverte-kaps-400mg-30-45767/,https://media.366.ru/sys_master/product/h3c/h1f/8816868851742.jpg
