Название,Производитель,Содержание,Количество на складе,Цена,Ссылка,Ссылка на изображение
Эдас-306 сироп 100 мл,"ЭДАС, РоссияГомеопатический состав",Гомеопатический состав,None,195 ₽,https://366.ru/p/edas306-passambra-100ml-pri-nevrozakh-16976/,https://media.366.ru/sys_master/product/h3e/hee/8818178883614.jpg
Афлубин таблетки гомеопатические 12 шт,"БИТТНЕР ФАРМА, АвстрияГоречавка+аконит+бриония двудомная+железа фосфат+молочная кислота",Горечавка+аконит+бриония двудомная+железа фосфат+молочная кислота,None,387 ₽,https://366.ru/p/aflubin-tab-podjazychnye-gomeop-12-18801/,https://media.366.ru/sys_master/product/hda/hba/8818703532062.jpg
Климактоплан Н таблетки гомеопатические 100 шт,"АЛЬПЕН ФАРМА, ГерманияГомеопатический состав",Гомеопатический состав,None,671 ₽,https://366.ru/p/klimaktoplan-n-tab-100-22958/,https://media.366.ru/sys_master/product/h04/h21/8818185076766.jpg
Эдас-127 Мастиол капли для приема внутрь 25 мл,"ЭДАС, РоссияГомеопатический состав",Гомеопатический состав,None,362 ₽,https://366.ru/p/edas127-mastiol-kapl25ml-pri-mastopat-24994/,https://media.366.ru/sys_master/product/h47/h89/8825517998110.jpg
Эдас-131 капли назальные 25 мл,"ЭДАС, РоссияГомеопатический состав",Гомеопатический состав,None,253 ₽,https://366.ru/p/edas131-25ml-dlja-nosa-24995/,https://media.366.ru/sys_master/product/h01/h19/8818733809694.jpg
Нирвана-Эдас Эдас-111 раствор флаконы-капельницы 25 мл,"ЭДАС, РоссияГомеопатический состав",Гомеопатический состав,None,259 ₽,https://366.ru/p/edas111-passiflora-kapl25ml-pri-nevroz-24997/,https://media.366.ru/sys_master/product/hab/ha1/8818738626590.jpg
Лома люкс акнемол таблетки гомеопатические N100,"ЛОМА ЛЮКС, Соединенные Штаты АмерикиГомеопатический состав",Гомеопатический состав,None,1 996 ₽,https://366.ru/p/loma-ljuks-aknemol-tab-300mg-100-26469/,https://media.366.ru/sys_master/product/h2a/hd6/8818736562206.jpg
Псориатен мазь 50 г,"АЛЬПЕН ФАРМА, ГерманияГомеопатический состав",Гомеопатический состав,None,875 ₽,https://366.ru/p/psoriaten-maz-d-naruzh-prim-50g-26625/,https://media.366.ru/sys_master/product/hb1/hb4/8818638782494.jpg
Циннабсин таблетки 100 шт,"АЛЬПЕН ФАРМА, ГерманияГомеопатический состав",Гомеопатический состав,None,876 ₽,https://366.ru/p/cinnabsin-tab-100-26626/,https://media.366.ru/sys_master/product/h92/hb7/8818192187422.jpg
Эдас 131 15 мл,"ЭДАС, РоссияГомеопатический состав",Гомеопатический состав,None,209 ₽,https://366.ru/p/edas131-rinitol-kapl15ml-flkapl-27403/,https://media.366.ru/sys_master/product/h63/h85/9458035687454.jpg
